2025-12-25 03:15:02 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2025-12-25 03:15:02 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2025-12-25 03:15:02 - mkk_comic - app.py:838 - INFO - 【海贼王】上次下载至第27章
2025-12-25 03:15:03 - mkk_comic - app.py:845 - INFO - 【海贼王】检测到更新！最新：374章
2025-12-25 03:15:03 - mkk_comic - app.py:848 - INFO - 【海贼王】最大下载限制为5章-需下载28~32章）
2025-12-25 03:15:04 - mkk_comic - app.py:494 - INFO - 正在下载第28章: 28卷    UUID:f658d3ae-c7bd-11e8-881b-024352452ce0
2025-12-25 03:15:04 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/海贼王/28卷
2025-12-25 03:15:04 - mkk_comic - app.py:505 - INFO - 开始下载: 海贼王 - 28卷
2025-12-25 03:15:04 - mkk_comic - app.py:506 - INFO - 总页数: 195
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 001/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 002/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 003/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 004/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 005/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 006/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 007/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 008/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 009/195 页...
2025-12-25 03:15:04 - mkk_comic - app.py:582 - INFO - 正在下载第 010/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 011/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 012/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 013/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 014/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 015/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 016/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 017/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 018/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 019/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 020/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 021/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 022/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 023/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 024/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 025/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 026/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 027/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 028/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 029/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 030/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 031/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 032/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 033/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 034/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 035/195 页...
2025-12-25 03:15:05 - mkk_comic - app.py:582 - INFO - 正在下载第 036/195 页...
