2026-03-30 13:48:22 - mkk_comic - app.py:868 - INFO - 运行环境：GitHub Actions（自动化模式）
2026-03-30 13:48:22 - mkk_comic - app.py:825 - INFO - ===== 开始检查更新=====
2026-03-30 13:48:22 - mkk_comic - app.py:843 - INFO - 【海贼王】上次下载至第382章
2026-03-30 13:48:22 - mkk_comic - app.py:846 - INFO - 该漫画更新至382章，不需要更新
2026-03-30 13:48:22 - mkk_comic - app.py:843 - INFO - 【电锯人】上次下载至第258章
2026-03-30 13:48:23 - mkk_comic - app.py:846 - INFO - 该漫画更新至258章，不需要更新
2026-03-30 13:48:23 - mkk_comic - app.py:843 - INFO - 【魔都精兵的奴隸】上次下载至第200章
2026-03-30 13:48:24 - mkk_comic - app.py:846 - INFO - 该漫画更新至200章，不需要更新
2026-03-30 13:48:24 - mkk_comic - app.py:843 - INFO - 【我獨自升級】上次下载至第0章
2026-03-30 13:48:25 - mkk_comic - app.py:850 - INFO - 【我獨自升級】检测到更新！最新：201章
2026-03-30 13:48:25 - mkk_comic - app.py:853 - INFO - 【我獨自升級】最大下载限制为60章-需下载1~60章）
2026-03-30 13:48:26 - mkk_comic - app.py:494 - INFO - 正在下载第1章: 序章    UUID:991d033c-a419-11eb-a88c-024352452ce0
2026-03-30 13:48:26 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/我獨自升級/序章
2026-03-30 13:48:26 - mkk_comic - app.py:505 - INFO - 开始下载: 我獨自升級 - 序章
2026-03-30 13:48:26 - mkk_comic - app.py:506 - INFO - 总页数: 66
2026-03-30 13:48:26 - mkk_comic - app.py:587 - INFO - 正在下载第 001/066 页...
2026-03-30 13:48:26 - mkk_comic - app.py:587 - INFO - 正在下载第 002/066 页...
2026-03-30 13:48:26 - mkk_comic - app.py:587 - INFO - 正在下载第 003/066 页...
2026-03-30 13:48:26 - mkk_comic - app.py:587 - INFO - 正在下载第 004/066 页...
2026-03-30 13:48:26 - mkk_comic - app.py:587 - INFO - 正在下载第 005/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 006/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 007/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 008/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 009/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 010/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 011/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 012/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 013/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 014/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 015/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 016/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 017/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 018/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 019/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 020/066 页...
2026-03-30 13:48:27 - mkk_comic - app.py:587 - INFO - 正在下载第 021/066 页...
